Date Time, Prediction
2015-06-05 09:18,-1.652
2015-06-05 09:24,-1.674
2015-06-05 09:30,-1.692
2015-06-05 09:36,-1.706
2015-06-05 09:42,-1.716
2015-06-05 09:48,-1.723
2015-06-05 09:54,-1.726
2015-06-05 10:00,-1.725
2015-06-05 10:06,-1.720
2015-06-05 10:12,-1.711
2015-06-05 10:18,-1.699
2015-06-05 10:24,-1.683
2015-06-05 10:30,-1.664
2015-06-05 10:36,-1.640
2015-06-05 10:42,-1.614
2015-06-05 10:48,-1.583
2015-06-05 10:54,-1.550
2015-06-05 11:00,-1.513
2015-06-05 11:06,-1.473
2015-06-05 11:12,-1.430
2015-06-05 11:18,-1.384
2015-06-05 11:24,-1.336
2015-06-05 11:30,-1.285
2015-06-05 11:36,-1.231
2015-06-05 11:42,-1.175
2015-06-05 11:48,-1.117
2015-06-05 11:54,-1.057
2015-06-05 12:00,-0.995
2015-06-05 12:06,-0.932
2015-06-05 12:12,-0.867
2015-06-05 12:18,-0.801
2015-06-05 12:24,-0.734
2015-06-05 12:30,-0.666
2015-06-05 12:36,-0.598
2015-06-05 12:42,-0.529
2015-06-05 12:48,-0.460
2015-06-05 12:54,-0.391
2015-06-05 13:00,-0.322
2015-06-05 13:06,-0.253
2015-06-05 13:12,-0.185
2015-06-05 13:18,-0.118
2015-06-05 13:24,-0.051
2015-06-05 13:30,0.014
2015-06-05 13:36,0.078
2015-06-05 13:42,0.141
2015-06-05 13:48,0.201
2015-06-05 13:54,0.261
2015-06-05 14:00,0.318
2015-06-05 14:06,0.373
2015-06-05 14:12,0.426
2015-06-05 14:18,0.476
2015-06-05 14:24,0.524
2015-06-05 14:30,0.570
2015-06-05 14:36,0.612
2015-06-05 14:42,0.652
2015-06-05 14:48,0.689
2015-06-05 14:54,0.723
2015-06-05 15:00,0.753
2015-06-05 15:06,0.781
2015-06-05 15:12,0.805
2015-06-05 15:18,0.826
2015-06-05 15:24,0.844
2015-06-05 15:30,0.859
2015-06-05 15:36,0.870
2015-06-05 15:42,0.877
2015-06-05 15:48,0.882
2015-06-05 15:54,0.882
2015-06-05 16:00,0.880
2015-06-05 16:06,0.874
2015-06-05 16:12,0.865
2015-06-05 16:18,0.853
2015-06-05 16:24,0.837
2015-06-05 16:30,0.818
2015-06-05 16:36,0.796
2015-06-05 16:42,0.771
2015-06-05 16:48,0.743
2015-06-05 16:54,0.712
2015-06-05 17:00,0.678
2015-06-05 17:06,0.641
2015-06-05 17:12,0.602
2015-06-05 17:18,0.561
2015-06-05 17:24,0.516
2015-06-05 17:30,0.470
2015-06-05 17:36,0.421
2015-06-05 17:42,0.371
2015-06-05 17:48,0.318
2015-06-05 17:54,0.264
2015-06-05 18:00,0.208
2015-06-05 18:06,0.150
2015-06-05 18:12,0.091
2015-06-05 18:18,0.031
2015-06-05 18:24,-0.030
2015-06-05 18:30,-0.092
2015-06-05 18:36,-0.155
2015-06-05 18:42,-0.218
2015-06-05 18:48,-0.282
2015-06-05 18:54,-0.346
2015-06-05 19:00,-0.410
2015-06-05 19:06,-0.474
2015-06-05 19:12,-0.538
2015-06-05 19:18,-0.602
2015-06-05 19:24,-0.665
2015-06-05 19:30,-0.727
2015-06-05 19:36,-0.788
2015-06-05 19:42,-0.848
2015-06-05 19:48,-0.908
2015-06-05 19:54,-0.965
2015-06-05 20:00,-1.021
2015-06-05 20:06,-1.076
2015-06-05 20:12,-1.129
2015-06-05 20:18,-1.179
2015-06-05 20:24,-1.228
2015-06-05 20:30,-1.274
2015-06-05 20:36,-1.318
2015-06-05 20:42,-1.360
2015-06-05 20:48,-1.399
2015-06-05 20:54,-1.435
2015-06-05 21:00,-1.468
2015-06-05 21:06,-1.498
2015-06-05 21:12,-1.525
2015-06-05 21:18,-1.550
2015-06-05 21:24,-1.570
2015-06-05 21:30,-1.588
2015-06-05 21:36,-1.602
2015-06-05 21:42,-1.613
2015-06-05 21:48,-1.620
2015-06-05 21:54,-1.624
2015-06-05 22:00,-1.624
2015-06-05 22:06,-1.621
2015-06-05 22:12,-1.614
2015-06-05 22:18,-1.603
2015-06-05 22:24,-1.589
2015-06-05 22:30,-1.572
2015-06-05 22:36,-1.551
2015-06-05 22:42,-1.526
2015-06-05 22:48,-1.498
2015-06-05 22:54,-1.467
2015-06-05 23:00,-1.432
2015-06-05 23:06,-1.394
2015-06-05 23:12,-1.353
2015-06-05 23:18,-1.309
2015-06-05 23:24,-1.263
2015-06-05 23:30,-1.213
2015-06-05 23:36,-1.160
2015-06-05 23:42,-1.105
2015-06-05 23:48,-1.048
2015-06-05 23:54,-0.988
2015-06-06 00:00,-0.926
2015-06-06 00:06,-0.863
2015-06-06 00:12,-0.797
2015-06-06 00:18,-0.730
2015-06-06 00:24,-0.661
2015-06-06 00:30,-0.591
2015-06-06 00:36,-0.520
2015-06-06 00:42,-0.448
2015-06-06 00:48,-0.375
2015-06-06 00:54,-0.302
2015-06-06 01:00,-0.228
2015-06-06 01:06,-0.154
2015-06-06 01:12,-0.080
2015-06-06 01:18,-0.006
2015-06-06 01:24,0.067
2015-06-06 01:30,0.140
2015-06-06 01:36,0.212
2015-06-06 01:42,0.283
2015-06-06 01:48,0.352
2015-06-06 01:54,0.421
2015-06-06 02:00,0.488
2015-06-06 02:06,0.554
2015-06-06 02:12,0.617
2015-06-06 02:18,0.679
2015-06-06 02:24,0.739
2015-06-06 02:30,0.796
2015-06-06 02:36,0.851
2015-06-06 02:42,0.904
2015-06-06 02:48,0.954
2015-06-06 02:54,1.001
2015-06-06 03:00,1.045
2015-06-06 03:06,1.086
2015-06-06 03:12,1.124
2015-06-06 03:18,1.159
2015-06-06 03:24,1.191
2015-06-06 03:30,1.220
2015-06-06 03:36,1.245
2015-06-06 03:42,1.266
2015-06-06 03:48,1.285
2015-06-06 03:54,1.299
2015-06-06 04:00,1.311
2015-06-06 04:06,1.318
2015-06-06 04:12,1.322
2015-06-06 04:18,1.323
2015-06-06 04:24,1.320
2015-06-06 04:30,1.313
2015-06-06 04:36,1.303
2015-06-06 04:42,1.289
2015-06-06 04:48,1.272
2015-06-06 04:54,1.252
2015-06-06 05:00,1.228
2015-06-06 05:06,1.200
2015-06-06 05:12,1.170
2015-06-06 05:18,1.136
2015-06-06 05:24,1.099
2015-06-06 05:30,1.059
2015-06-06 05:36,1.017
2015-06-06 05:42,0.971
2015-06-06 05:48,0.923
2015-06-06 05:54,0.872
2015-06-06 06:00,0.818
2015-06-06 06:06,0.762
2015-06-06 06:12,0.704
2015-06-06 06:18,0.644
2015-06-06 06:24,0.582
2015-06-06 06:30,0.518
2015-06-06 06:36,0.452
2015-06-06 06:42,0.384
2015-06-06 06:48,0.316
2015-06-06 06:54,0.246
2015-06-06 07:00,0.174
2015-06-06 07:06,0.102
2015-06-06 07:12,0.030
2015-06-06 07:18,-0.044
2015-06-06 07:24,-0.118
2015-06-06 07:30,-0.192
2015-06-06 07:36,-0.266
2015-06-06 07:42,-0.340
2015-06-06 07:48,-0.414
2015-06-06 07:54,-0.488
